end_time, 2019/09/03 18:56:04.2938, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 356770280, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 1214, runtime, 99.98047, running_ave_reward, 0.01383855, 
end_time, 2019/09/03 19:12:14.0613, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1694196327, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/03 19:12:15.6740, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 190063874, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/03 19:13:47.3094, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 829699185, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/03 20:22:48.9293, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 461015284, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/03 20:36:50.0529, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 90668051, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.9375, running_ave_reward, 0, 
end_time, 2019/09/03 20:37:35.7365, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 176509922, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 1961, runtime, 99.89844, running_ave_reward, 0.0004079551, 
end_time, 2019/09/03 20:39:06.3879, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1554790463, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/03 21:44:33.9484, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 907688777, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.9375, running_ave_reward, 0, 
end_time, 2019/09/03 22:31:37.8883, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 329008381, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 1794, runtime, 99.98047, running_ave_reward, 0.00200669, 
end_time, 2019/09/03 22:35:47.8531, runtime, 48100, discount_factor, 0.99, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1032086260, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
